DisplayName	ReferenceID
Certificates should have the specified maximum validity period	certificatesValidityPeriodMonitoring
Key Vault secrets should have an expiration date	secretsExpirationSet
Key Vault keys should have an expiration date	keysExpirationSet
Guest Configuration extension should be installed on your machines	gcExtOnVMMonitoring
Virtual machines' Guest Configuration extension should be deployed with system-assigned managed identity	gcExtOnVMWithNoSAMIMonitoring
Windows Defender Exploit Guard should be enabled on your machines	windowsDefenderExploitGuardMonitoring
Windows machines should meet requirements of the Azure compute security baseline	windowsGuestConfigBaselinesMonitoring
Linux machines should meet requirements for the Azure compute security baseline	linuxGuestConfigBaselinesMonitoring
Resource logs in IoT Hub should be enabled	diagnosticsLogsInIoTHubMonitoring
Storage accounts should restrict network access	disableUnrestrictedNetworkToStorageAccountMonitoring
Azure Cosmos DB accounts should have firewall rules	azureCosmosDBAccountsShouldHaveFirewallRulesMonitoringEffect
Network Watcher should be enabled	networkWatcherShouldBeEnabledMonitoringEffect
Resource logs in Azure Machine Learning Workspaces should be enabled	resourceLogsInAzureMachineLearningWorkspacesShouldBeEnabled
Azure Machine Learning Workspaces should disable public network access	azureMachineLearningWorkspacesShouldDisablePublicNetworkAccess
Azure Machine Learning Computes should be in a virtual network	azureMachineLearningComputesShouldBeInAVirtualNetwork
Azure Machine Learning Computes should have local authentication methods disabled	azureMachineLearningComputesShouldHaveLocalAuthenticationMethodsDisabled
Azure Machine Learning compute instances should be recreated to get the latest software updates	azureMachineLearningComputeInstancesshouldUseTheLatestOsImage
Resource logs in Azure Databricks Workspaces should be enabled	resourceLogsInAzureDatabricksWorkspacesShouldBeEnabled
Azure Databricks Workspaces should disable public network access	azureDatabricksWorkspacesShouldDisablePublicNetworkAccess
Azure Databricks Clusters should disable public IP	azureDatabricksClustersShouldDisablePublicIp
Azure Databricks Workspaces should be in a virtual network	azureDatabricksWorkspacesShouldBeInAVirtualNetwork
Azure Databricks Workspaces should use private link	azureDatabricksWorkspacesShouldUsePrivateLink
Azure Defender for Resource Manager should be enabled	AzureDefenderForResourceManagerShouldBeEnabledMonitoringEffect
Kubernetes clusters should not use the default namespace	KubernetesClustersShouldNotUseTheDefaultNamespaceMonitoringEffect
Kubernetes clusters should disable automounting API credentials	KubernetesClustersShouldDisableAutomountingAPICredentialsMonitoringEffect
Kubernetes clusters should not grant CAP_SYS_ADMIN security capabilities	KubernetesClustersShouldNotGrantCAPSYSADMINSecurityCapabilitiesMonitoringEffect
vTPM should be enabled on supported virtual machines	VtpmShouldBeEnabledOnSupportedVirtualMachinesMonitoringEffect
Secure Boot should be enabled on supported Windows virtual machines	previewSecureBootShouldBeEnabledOnSupportedWindowsVirtualMachinesMonitoringEffect
Guest Attestation extension should be installed on supported Linux virtual machines	GuestAttestationExtensionShouldBeInstalledOnSupportedLinuxVirtualMachinesMonitoringEffect
Guest Attestation extension should be installed on supported Linux virtual machines scale sets	GuestAttestationExtensionShouldBeInstalledOnSupportedLinuxVirtualMachinesScaleSetsMonitoringEffect
Guest Attestation extension should be installed on supported Windows virtual machines	GuestAttestationExtensionShouldBeInstalledOnSupportedWindowsVirtualMachinesMonitoringEffect
Guest Attestation extension should be installed on supported Windows virtual machines scale sets	GuestAttestationExtensionShouldBeInstalledOnSupportedWindowsVirtualMachinesScaleSetsMonitoringEffect
Linux virtual machines should use only signed and trusted boot components	LinuxVirtualMachineShouldUseSignedAndTrustedBootComponentEffect
Resource logs in Azure Kubernetes Service should be enabled	diagnosticsLogsInKubernetesMonitoring
Azure Defender for open-source relational databases should be enabled	AzureDefenderForOpenSourceRelationalDatabasesShouldBeEnabledMonitoringEffect
Microsoft Defender CSPM should be enabled	MicrosoftDefenderCSPMShouldBeEnabledMonitoringEffect
Linux virtual machines should enable Azure Disk Encryption or EncryptionAtHost.	gcLinuxDiskEncryptionMonitoring
Windows virtual machines should enable Azure Disk Encryption or EncryptionAtHost.	gcWindowsDiskEncryptionMonitoring
Azure SQL Database should have Microsoft Entra-only authentication enabled during creation	sqlServerADOnlyEnabledMonitoring
Azure SQL Database should have Microsoft Entra-only authentication enabled	sqlServerDisableADOnlyAuthMonitoring
A Microsoft Entra administrator should be provisioned for MySQL servers	mySqlServerADAdminisMonitoring
A Microsoft Entra administrator should be provisioned for PostgreSQL servers	postgreSqlServerADAdminisMonitoring
Azure SQL Managed Instances should have Microsoft Entra-only authentication enabled during creation	sqlManagedInstanceADOnlyEnabledMonitoring
Azure SQL Managed Instance should have Microsoft Entra-only authentication enabled	sqlManagedInstanceDisablingADOnlyAuthMonitoring
Synapse Workspaces should use only Microsoft Entra identities for authentication during workspace creation	synapseWorkspaceADOnlyEnabledMonitoring
Synapse Workspaces should have Microsoft Entra-only authentication enabled	synapseWorkspaceDisablingADOnlyAuthMonitoring
API Management subscriptions should not be scoped to all APIs	aPIManagementServiceShouldNotHaveAllApisScopedSubscriptions
API Management calls to API backends should not bypass certificate thumbprint or name validation	aPIManagementServiceShouldNotBypassCertificateValidation
API Management APIs should use only encrypted protocols	aPIManagementServiceShouldUseEncryptedProtocols
API Management secret named values should be stored in Azure Key Vault	aPIManagementServiceShouldUseKeyVaultForSecretNamedValues
API Management direct management endpoint should not be enabled	aPIManagementServiceShouldHaveDirectManagementEndpointDisabled
API Management should disable public network access to the service configuration endpoints	aPIManagementServiceShouldDisableServiceConfigurationEndpoints
API Management minimum API version should be set to 2019-12-01 or higher	aPIManagementServiceShouldHaveMinimumAPIVersionSet
API Management calls to API backends should be authenticated	aPIManagementServiceShouldHaveBackendCallsAuthenticated
Azure MySQL flexible server should have Microsoft Entra Only Authentication enabled	mySqlServerADOnlyEnabledMonitoring
Machines should have secret findings resolved	serverSecretFindingsMonitoring
API endpoints that are unused should be disabled and removed from the Azure API Management service	unusedApisShouldbeDisabledAndRemovedFromApim
API endpoints in Azure API Management should be authenticated	apimApiEndpointsShouldbeAuthenticated
Microsoft Defender for Storage should be enabled	defenderForStorageShouldBeEnabledMonitoring
Azure AI Services resources should have key access disabled (disable local authentication)	cognitiveServicesAccountsShouldHaveLocalAuthenticationMethodsDisabled
Cognitive Services should use private link	cognitiveServicesShouldUsePrivateLink
Virtual machines and virtual machine scale sets should have encryption at host enabled	virtualMachinesAndVirtualMachineScaleSetsShouldHaveEncryptionAtHostEnabled
Azure Cosmos DB should disable public network access	azureCosmosDBShouldDisablePublicNetworkAccess
CosmosDB accounts should use private link	cosmosDBAaccountsShouldUsePrivateLink
VPN gateways should use only Azure Active Directory (Azure AD) authentication for point-to-site users	vPNGatewaysShouldUseOnlyAzureActiveDirectoryAzureADAuthenticationForPointtositeUsers
Azure SQL Database should be running TLS version 1.2 or newer	azureSQLDatabaseShouldBeRunningTLSVersion12OrNewer
Azure SQL Managed Instances should disable public network access	azureSQLManagedInstancesShouldDisablePublicNetworkAccess
Storage accounts should prevent shared key access	storageAccountsShouldPreventSharedKeyAccess
Azure API Management platform version should be stv2	aPIManagementServicePlatformVersionShouldBeStv2
Azure Stack HCI servers should meet Secured-core requirements	hciSecuredCoreComplianceMonitoringAtCluster
Azure Stack HCI servers should have consistently enforced application control policies	hciWdacComplianceMonitoringAtCluster
Azure Stack HCI systems should have encrypted volumes	hciDataAtRestEncryptedComplianceMonitoringAtCluster
Host and VM networking should be protected on Azure Stack HCI systems	hciDataInTransitComplianceMonitoringAtCluster
Azure PostgreSQL flexible server should have Microsoft Entra Only Authentication enabled	postgreSqlFlexibleServersEnableEntraOnlyAuthenticationMonitoring
